,State,First Response,Full Response,Task Types,Difficulty,Date
1,Failed,6h,71d,Add new features,General,2019/9/28
2,Failed,8h,104d,Add new features,General,2020/8/9
3,Underappreciated,129h,104d,Bug,General,2022/3/17
4,Failed,72h,1d,Add new features,General,2021/5/9
5,Failed,9h,61d,Add new features,General,2022/11/27
6,Underappreciated,93h,101d,Add new features,General,2022/3/28
7,Failed,19h,6d,Add new features,General,2019/1/23
8,Failed,40h,110d,Add new features,General,2019/2/18
9,Failed,69h,106d,Code Review,Easy,2021/12/6
10,Completed,38h,57d,Add new features,General,2020/4/30
11,Failed,36h,106d,Code Review,Easy,2021/1/31
12,Completed,17h,101d,Bug,General,2019/4/15
13,Completed,17h,101d,Bug,General,2021/4/18
14,Failed,70h,7d,Bug,General,2021/3/10
15,Failed,15h,108d,Add new features,General,2020/5/16
16,Failed,58h,108d,Improvement,General,2022/7/16
17,Completed,139h,109d,Improvement,General,2020/9/30
18,Failed,19h,101d,Design,Hard,2021/5/21
19,Failed,22h,3d,Design,Hard,2020/4/10
20,Completed,29h,56d,Bug,General,2022/12/21
21,Completed,9h,11d,Design,Hard,2021/11/16
22,Completed,15h,7d,Bug,General,2022/1/5
23,Completed,11h,77d,Improvement,General,2022/1/31
24,Failed,15h,105d,Add new features,General,2019/2/12
25,Completed,142h,16d,Improvement,General,2022/10/2
26,Underappreciated,28h,52d,Documentation,Easy,2021/12/14
27,Failed,8h,107d,Improvement,General,2021/8/7
28,Failed,17h,54d,Bug,General,2019/10/15
29,Failed,5h,109d,Improvement,General,2019/10/14
30,Failed,140h,107d,Documentation,Easy,2021/11/26
31,Failed,2h,36d,Design,Hard,2019/3/5
32,Failed,1h,19d,Improvement,General,2021/2/28
33,Completed,24h,106d,Improvement,General,2019/4/13
34,Completed,127h,6d,Improvement,General,2022/12/16
35,Failed,16h,38d,Add new features,General,2020/8/6
36,Completed,2h,109d,Improvement,General,2019/3/3
37,Failed,38h,10d,Add new features,General,2021/7/14
38,Completed,19h,36d,Add new features,General,2020/5/30
39,Completed,89h,105d,Add new features,General,2020/2/21
40,Underappreciated,16h,37d,Design,Hard,2019/12/12
41,Failed,30h,35d,Add new features,General,2021/12/17
42,Failed,7h,11d,Add new features,General,2022/6/21
43,Completed,143h,108d,Design,Hard,2019/2/20
44,Completed,34h,20d,Bug,General,2019/1/26
45,Completed,3h,103d,Add new features,General,2019/9/1
46,Completed,18h,20d,Add new features,General,2021/4/21
47,Failed,3h,101d,Add new features,General,2022/11/18
48,Underappreciated,141h,107d,Add new features,General,2019/4/6
49,Failed,5h,72d,Add new features,General,2021/7/8
50,Underappreciated,7h,26d,Bug,General,2021/11/5
51,Failed,19h,110d,Add new features,General,2022/5/26
52,Failed,98h,102d,Improvement,General,2020/5/2
53,Completed,19h,106d,Improvement,General,2019/6/18
54,Completed,139h,43d,Bug,General,2019/7/7
55,Completed,131h,105d,Add new features,General,2021/8/31
56,Completed,3h,34d,Improvement,General,2021/2/12
57,Failed,12h,6d,Add new features,General,2020/8/30
58,Failed,18h,79d,Add new features,General,2021/4/5
59,Failed,18h,48d,Add new features,General,2021/4/9
60,Failed,20h,12d,Add new features,General,2022/12/29
61,Failed,10h,21d,Bug,General,2020/12/15
62,Completed,6h,1d,Add new features,General,2022/5/18
63,Underappreciated,4h,108d,Add new features,General,2021/4/21
64,Failed,59h,4d,Bug,General,2021/7/5
65,Failed,137h,3d,Add new features,General,2021/10/26
66,Failed,11h,67d,Improvement,General,2020/7/31
67,Underappreciated,45h,106d,Improvement,General,2020/4/24
68,Failed,143h,104d,Add new features,General,2020/2/21
69,Failed,68h,43d,Add new features,General,2020/2/25
70,Failed,16h,9d,Improvement,General,2020/1/18
71,Failed,8h,8d,Code Review,Easy,2019/3/18
72,Failed,137h,21d,Design,Hard,2019/7/28
73,Failed,6h,52d,Add new features,General,2020/12/18
74,Failed,10h,55d,Add new features,General,2021/8/12
75,Failed,18h,38d,Add new features,General,2022/8/6
76,Failed,89h,59d,Bug,General,2021/5/11
77,Failed,16h,107d,Improvement,General,2022/2/6
78,Failed,6h,39d,Add new features,General,2022/4/7
79,Failed,122h,6d,Add new features,General,2020/9/25
80,Failed,31h,110d,Documentation,Easy,2020/7/15
81,Completed,18h,108d,Add new features,General,2020/5/10
82,Failed,11h,102d,Add new features,General,2022/11/21
83,Completed,3h,108d,Add new features,General,2022/6/18
84,Failed,34h,103d,Bug,General,2021/2/2
85,Completed,70h,84d,Design,Hard,2020/11/2
86,Completed,29h,6d,Design,Hard,2022/1/20
87,Failed,7h,10d,Bug,General,2022/7/24
88,Failed,6h,105d,Bug,General,2022/8/7
89,Failed,8h,104d,Bug,General,2022/12/7
90,Completed,19h,103d,Add new features,General,2020/6/12
91,Completed,5h,8d,Add new features,General,2019/3/27
92,Failed,2h,56d,Documentation,Easy,2019/3/12
93,Failed,29h,45d,Design,Hard,2019/11/19
94,Completed,21h,85d,Add new features,General,2021/2/14
95,Underappreciated,42h,15d,Add new features,General,2019/11/20
96,Completed,3h,28d,Bug,General,2020/9/18
97,Underappreciated,36h,106d,Add new features,General,2021/9/20
98,Underappreciated,124h,102d,Add new features,General,2020/2/28
99,Completed,7h,10d,Design,Hard,2020/7/10
100,Underappreciated,2h,110d,Add new features,General,2019/4/4
101,Failed,142h,106d,Improvement,General,2022/3/11
